sentence,question,correct answer,chatgpt answer,evaluation
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Andris pofonvágta Zolit, mert udvariatlan volt Noémivel.",Ki volt udvariatlan Noémivel? Andris vagy Zoli?,Zoli,Zoli volt udvariatlan Noémivel.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
"Kati kölcsönkért egy könyvet Erikától, de nem adta vissza.",Ki nem adta vissza a könyvet? Kati vagy Erika?,Kati,Kati nem adta vissza a könyvet.,j
